Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2018-06-24;18:08;CZK;Trezor;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-06-30;16:19;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-01;14:11;KB - Personal - účet;CZK;2500.0;2500.0;2500.0;2500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-02;11:11;Trezor;CZK;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-02;13:25;CZK;EUR;11500.0;11500.0;434.0;11500.0;CZK;EUR;Transfer;Reconciled;[];
Transfer;2018-07-03;13:22;KB - Personal - účet;CZK;2600.0;2600.0;2600.0;2600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-13;07:00;KB - Personal - účet;Allianz - Penzijní pripojištění;300.0;300.0;300.0;300.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-17;15:50;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-25;17:28;CZK;Trezor;400.0;400.0;400.0;400.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-07-30;11:37;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-02;15:39;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-20;19:15;CZK;Trezor;7000.0;7000.0;7000.0;7000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-21;17:12;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-22;07:59;Trezor;KB - Personal - účet;10000.0;10000.0;10000.0;10000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-30;16:54;KB - Personal - účet;CZK;3600.0;3600.0;3600.0;3600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-30;18:45;CZK;Trezor;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-08-31;18:42;KB - Personal - účet;CZK;600.0;600.0;600.0;600.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-09-04;13:04;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-09-07;15:20;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-09-07;19:36;KB - Personal - účet;CZK;4500.0;4500.0;4500.0;4500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-09-09;18:03;KB - Personal - účet;Benzina - Karta;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-09-12;11:40;KB - Personal - účet;CZK;2500.0;2500.0;2500.0;2500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-09-12;21:41;CZK;Trezor;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-09-21;17:56;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-09-26;13:54;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-10-02;11:04;KB - Personal - účet;CZK;1500.0;1500.0;1500.0;1500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-10-07;19:00;KB - Personal - účet;CZK;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-10-26;15:59;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-10-31;12:13;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-11-06;15:10;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Cleared;[];
Transfer;2018-11-13;12:17;KB - Personal - účet;CZK;500.0;500.0;500.0;500.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2018-11-15;20:56;KB - Personal - účet;CZK;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
