Type;Date;Notes;Labels;From_Account;From_Amount;From_Amount_LCY;From_Currency;From_Exchange_Rate;To_Account;To_Amount;To_Amount_LCY;To_Currency;To_Exchange_Rate;Time;Payment type;Payment status;Place
Transfer;2022-06-21;;[];AirBank - Spořící;9000.0;9000.0;CZK;1.0;AirBank - Společný;9000.0;9000.0;CZK;1.0;11:02;Transfer;Reconciled;
Transfer;2022-06-13;;['Vklad - Honza'];KB - Personal - účet;5000.0;5000.0;CZK;1.0;AirBank - Společný;5000.0;5000.0;CZK;1.0;07:00;Transfer;Reconciled;
Transfer;2022-06-11;;[];AirBank - Společný;1000.0;1000.0;CZK;1.0;CZK - Společný;1000.0;1000.0;CZK;1.0;11:06;Transfer;Reconciled;
Transfer;2022-06-10;Zaloha na Renault Laguna service, pojisteni, ruceni;['Renault Laguna', 'Vklad - Honza'];KB - Personal - účet;1000.0;1000.0;CZK;1.0;AirBank - Spořící;1000.0;1000.0;CZK;1.0;07:04;Transfer;Reconciled;
Transfer;2022-06-10;;['Vklad - Honza'];KB - Personal - účet;5000.0;5000.0;CZK;1.0;AirBank - Společný;5000.0;5000.0;CZK;1.0;07:01;Transfer;Reconciled;
Transfer;2022-06-10;;['Vklad - Honza'];KB - Personal - účet;15000.0;15000.0;CZK;1.0;AirBank - Spořící;15000.0;15000.0;CZK;1.0;07:01;Transfer;Reconciled;
Transfer;2022-06-09;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;10:49;Transfer;Reconciled;
Transfer;2022-06-08;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;19:59;Transfer;Reconciled;
Transfer;2022-06-08;;[];AirBank - Spořící;1800.0;1800.0;CZK;1.0;AirBank - Společný;1800.0;1800.0;CZK;1.0;19:38;Transfer;Reconciled;
Transfer;2022-06-06;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;11:41;Transfer;Reconciled;
Transfer;2022-06-05;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;10:05;Transfer;Reconciled;
Transfer;2022-06-01;;[];AirBank - Spořící;3688.75;3688.75;CZK;1.0;AirBank - Společný;3688.75;3688.75;CZK;1.0;19:48;Transfer;Reconciled;
Transfer;2022-05-31;;[];AirBank - Společný;1500.0;1500.0;CZK;1.0;CZK - Společný;1500.0;1500.0;CZK;1.0;12:46;Transfer;Reconciled;
Transfer;2022-05-31;;[];AirBank - Spořící;1500.0;1500.0;CZK;1.0;AirBank - Společný;1500.0;1500.0;CZK;1.0;12:44;Transfer;Reconciled;
Transfer;2022-05-31;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;03:01;Transfer;Reconciled;
Transfer;2022-05-30;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;19:33;Transfer;Reconciled;
Transfer;2022-05-29;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;16:57;Transfer;Reconciled;
Transfer;2022-05-27;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;13:54;Transfer;Reconciled;
Transfer;2022-05-26;;['Vklad - Honza'];AirBank - Spořící;5000.0;5000.0;CZK;1.0;KB - Personal - účet;5000.0;5000.0;CZK;1.0;21:26;Transfer;Reconciled;
Transfer;2022-05-26;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;20:45;Transfer;Reconciled;
Transfer;2022-05-24;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;15:55;Transfer;Reconciled;
Transfer;2022-05-23;;[];KB - Personal - účet;600.0;600.0;CZK;1.0;CZK;600.0;600.0;CZK;1.0;15:44;Transfer;Reconciled;
Transfer;2022-05-18;;[];AirBank - Společný;1500.0;1500.0;CZK;1.0;CZK - Společný;1500.0;1500.0;CZK;1.0;16:04;Transfer;Reconciled;
Transfer;2022-05-16;;[];KB - Personal - účet;17000.0;17000.0;CZK;1.0;AirBank - Spořící;17000.0;17000.0;CZK;1.0;15:45;Transfer;Reconciled;
Transfer;2022-05-11;;['Vklad - Honza'];KB - Personal - účet;10000.0;10000.0;CZK;1.0;AirBank - Společný;10000.0;10000.0;CZK;1.0;11:14;Transfer;Reconciled;
Transfer;2022-05-10;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;12:06;Transfer;Reconciled;
Transfer;2022-05-03;;['Vklad - Honza'];KB - Personal - účet;4000.0;4000.0;CZK;1.0;AirBank - Společný;4000.0;4000.0;CZK;1.0;05:49;Transfer;Reconciled;
Transfer;2022-05-03;;[];AirBank - Spořící;357.1;357.1;CZK;1.0;AirBank - Společný;357.1;357.1;CZK;1.0;05:47;Transfer;Reconciled;
Transfer;2022-04-30;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;09:08;Transfer;Reconciled;
Transfer;2022-04-28;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;16:26;Transfer;Reconciled;
Transfer;2022-04-25;;[];AirBank - Spořící;1000.0;1000.0;CZK;1.0;AirBank - Společný;1000.0;1000.0;CZK;1.0;17:39;Transfer;Reconciled;
Transfer;2022-04-25;;[];AirBank - Společný;1500.0;1500.0;CZK;1.0;CZK - Společný;1500.0;1500.0;CZK;1.0;14:01;Transfer;Reconciled;
Transfer;2022-04-25;;[];AirBank - Spořící;1500.0;1500.0;CZK;1.0;AirBank - Společný;1500.0;1500.0;CZK;1.0;11:57;Transfer;Reconciled;
