Type;Date;Time;From_Account;To_Account;From_Amount;From_Amount_LCY;To_Amount;To_Amount_LCY;From_Currency;To_Currency;Payment_type;Payment_Status;Labels;Notes
Transfer;2021-08-11;12:23;AirBank - Spořící;AirBank - Společný;739.0;739.0;739.0;739.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-08-11;17:56;AirBank - Spořící;AirBank - Společný;1653.0;1653.0;1653.0;1653.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-08-12;07:11;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-08-12;07:11;KB - Personal - účet;AirBank - Spořící;15000.0;15000.0;15000.0;15000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-08-18;08:56;AirBank - Spořící;AirBank - Společný;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;['2021 - Slovinsko'];
Transfer;2021-09-08;17:00;CZK - Společný;CZK;100.0;100.0;100.0;100.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-09-09;07:03;KB - Personal - účet;AirBank - Společný;5000.0;5000.0;5000.0;5000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-09-09;07:03;KB - Personal - účet;AirBank - Spořící;20000.0;20000.0;20000.0;20000.0;CZK;CZK;Transfer;Reconciled;['Vklad - Honza'];
Transfer;2021-09-13;11:08;AirBank - Spořící;AirBank - Společný;4214.97;4214.97;4214.97;4214.97;CZK;CZK;Transfer;Reconciled;['2021 - Šumava'];
Transfer;2021-09-15;07:08;AirBank - Spořící;KB - Personal - účet;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-09-25;18:41;AirBank - Spořící;AirBank - Společný;3000.0;3000.0;3000.0;3000.0;CZK;CZK;Transfer;Reconciled;['2021 - Šumava'];
Transfer;2021-09-28;09:42;AirBank - Spořící;AirBank - Společný;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;['2021 - Šumava'];
Transfer;2021-09-30;08:28;AirBank - Spořící;KB - Personal - účet;1000.0;1000.0;1000.0;1000.0;CZK;CZK;Transfer;Reconciled;[];
Transfer;2021-10-02;00:30;AirBank - Spořící;AirBank - Společný;2000.0;2000.0;2000.0;2000.0;CZK;CZK;Transfer;Reconciled;[];
